id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
1;51;1;2;29/07/2021 00:00;29/07/2024 00:00;29/07/2021 00:00;29/07/2024 00:00;8460;520;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;5000;749;;0.175;SP;3;3810;381007;364.27;0.2825;7782.7236;565893;;1096;0.333941606;1669.708029;511;2-DanosEletricos;(686.0, 821.0];6.8481;-3.675124402;0;0;1.0144;0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;30.43297302;0
4;81;1;2;09/04/2023 00:00;09/04/2024 00:00;09/04/2023 00:00;09/04/2024 00:00;4356;100;2;RENOVACAO NA CIA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;10000;967;;0.0609;SP;3;3810;381007;1966.57;0.2825;7782.7236;565893;;366;0.857923497;8579.234973;811;2-DanosEletricos;(950.0, 1000.0];6.8481;-2.985128602;-0.2372;0;1.0144;0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;47.86202817;0
7;81;2;2;08/04/2023 00:00;08/04/2024 00:00;08/04/2023 00:00;08/04/2024 00:00;12460;0;2;RENOVACAO NA CIA;-1;2;VERANEIO;1;CASAS DE ALVENARIA;1;10000;894;;0.0425;SP;3;3815;381502;-3;0.0425;174.1592;2268;;366;0.855191257;8551.912568;812;2-DanosEletricos;(867.0, 894.0];6.8481;-2.985128602;-0.2372;-0.4103;1.0144;0.5512;0;0;0;0;0;0;0;-0.001302739;0;0;0;0;0;119.0767995;0
11;51;3;2;03/08/2021 00:00;03/08/2023 00:00;03/08/2021 00:00;03/08/2023 00:00;2205;10;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;1;5000;916;;0.0916;SP;3;3810;381007;1254.85;0.2825;7782.7236;565893;;730;0.087671233;438.3561644;513;2-DanosEletricos;(915.0, 929.0];6.8481;-3.675124402;0;0;1.0144;0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;30.43297302;0
16;81;4;2;14/04/2023 00:00;14/04/2026 00:00;14/04/2023 00:00;14/04/2026 00:00;3424;40;2;RENOVACAO NA CIA;-1;1;HABITUAL;2;APARTAMENTO;-3;15000;740;;0.4134;SP;3;3810;381007;2022.24;0.2825;7782.7236;565893;;1096;0.333941606;5009.124088;814;2-DanosEletricos;(686.0, 821.0];6.8481;-2.64323434;-0.2372;0;0;0;0;0;0;0;0;-0.7106;0;-0.325048939;0;0;0;0;0;18.765437;0
20;51;5;2;06/08/2021 00:00;06/08/2024 00:00;06/08/2021 00:00;06/08/2024 00:00;29163;172;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;474;;-3;ES;3;3201;320104;719.82;0.1013;862.0011;10588;;1096;0.333941606;1669.708029;515;2-DanosEletricos;(236.0, 484.0];6.8481;-3.675124402;0;0;0;0;0;0;0;0;0;-0.2698;0;-0.006081747;0;0;0;0;0;18.12140527;0
26;51;6;2;07/08/2021 00:00;07/08/2024 00:00;07/08/2021 00:00;04/09/2023 00:00;14400;100;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;30000;909;;0.2185;SP;3;3813;381303;1237.85;0.0659;557.4072;16209;;1096;0.333941606;10018.24818;516;2-DanosEletricos;(894.0, 915.0];6.8481;-2.146973427;0;0;1.0144;0.8598;0;0;0;0;0;-0.2698;0;-0.00931045;0;0;0;0;0;542.5152107;0
32;81;7;2;08/04/2023 00:00;08/04/2024 00:00;08/04/2023 00:00;08/04/2024 00:00;3616;100;2;RENOVACAO NA CIA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;7843;791;;0.045;SP;3;3810;381007;752.31;0.2825;7782.7236;565893;;366;0.855191257;6707.265027;817;2-DanosEletricos;(686.0, 821.0];6.8481;-3.210837904;-0.2372;0;1.0144;0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;38.19150684;0
37;51;8;2;18/08/2021 00:00;18/08/2023 00:00;18/08/2021 00:00;18/08/2023 00:00;9720;440;5;RENOVAÇÃO OUTRA CIA;197;1;HABITUAL;2;APARTAMENTO;-3;8000;956;;0.6696;SP;3;3810;381007;1481.75;0.2394;1993.3407;27397;;730;0.108219178;865.7534247;518;2-DanosEletricos;(950.0, 1000.0];6.8481;-3.191802787;-0.2372;0;0;0;0;0;0;0;0;-0.6866;0;-0.015736837;0;0;0;0;0;15.13122329;0
40;81;8;2;05/04/2023 00:00;05/04/2024 00:00;05/04/2023 00:00;05/04/2024 00:00;6422;100;2;RENOVACAO NA CIA;-1;1;HABITUAL;2;APARTAMENTO;-3;3000;825;;0;SP;3;3810;381005;623.66;0.1105;4036.6252;13986;;366;0.846994536;2540.983607;818;2-DanosEletricos;(821.0, 867.0];6.8481;-4.28377517;-0.2372;0;0;0;0;0;0;0;0;-0.6866;0;-0.008033558;0;0;0;0;0;5.116605706;0
