id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
9;81;2;64;08/04/2023 00:00;08/04/2024 00:00;08/04/2023 00:00;08/04/2024 00:00;12460;0;2;RENOVACAO NA CIA;-1;2;VERANEIO;1;CASAS DE ALVENARIA;1;10000;894;;0.0425;SP;3;3815;381502;-3;0.0425;174.1592;2268;;366;0.855191257;8551.912568;812;64-Vendaval;(867.0, 894.0];4.257353446;-1.246549488;0;0;0;0;0;0;0;0;0;0;0.230843282;0;0;0;0;0;0;25.57581657;6.393954142
22;51;5;64;06/08/2021 00:00;06/08/2024 00:00;06/08/2021 00:00;06/08/2024 00:00;29163;172;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;474;;-3;ES;3;3201;320104;719.82;0.1013;862.0011;10588;;1096;0.333941606;1669.708029;515;64-Vendaval;(236.0, 484.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
29;51;6;64;07/08/2021 00:00;07/08/2024 00:00;07/08/2021 00:00;04/09/2023 00:00;14400;100;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;10000;909;;0.2185;SP;3;3813;381303;1237.85;0.0659;557.4072;16209;;1096;0.333941606;3339.416058;516;64-Vendaval;(894.0, 915.0];4.257353446;-1.246549488;0.297264283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.33227506;6.833068766
35;81;7;64;08/04/2023 00:00;08/04/2024 00:00;08/04/2023 00:00;08/04/2024 00:00;3616;100;2;RENOVACAO NA CIA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;8000;791;;0.045;SP;3;3810;381007;752.31;0.2825;7782.7236;565893;;366;0.855191257;6841.530055;817;64-Vendaval;(686.0, 821.0];4.257353446;-1.393684696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.52570656;4.381426641
45;81;9;64;10/04/2023 00:00;10/04/2024 00:00;10/04/2023 00:00;10/04/2024 00:00;11441;290;2;RENOVACAO NA CIA;-1;2;VERANEIO;2;APARTAMENTO;-3;10000;943;;0.3333;SP;3;3810;381006;1363.7;0.1089;2160.7622;7009;;366;0.860655738;8606.557377;819;64-Vendaval;(929.0, 950.0];4.257353446;-1.246549488;0;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.413660021;1.353415005
61;50;19;64;29/06/2021 00:00;29/06/2023 00:00;29/06/2021 00:00;29/06/2023 00:00;22421;0;5;RENOVAÇÃO OUTRA CIA;177;1;HABITUAL;2;APARTAMENTO;-3;30000;684;;0.9575;RJ;3;3301;330101;5923.22;0.3762;5104.9533;192065;;730;0.039726027;1191.780822;5019;64-Vendaval;(484.0, 686.0];4.257353446;-0.719695682;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;-0.82941023;0;0;0;0;5.385085839;1.34627146
68;51;23;64;25/08/2021 00:00;25/08/2023 00:00;05/08/2022 00:00;25/08/2023 00:00;7791;60;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;2;5000;-1;;-3;SP;3;3810;381005;-3;0.1017;549.4172;2152;;730;0.117808219;589.0410959;5123;64-Vendaval;(-1.001, 236.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
73;51;26;64;26/08/2021 00:00;26/08/2024 00:00;26/08/2021 00:00;20/06/2023 00:00;21051;901;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;887;;-3;RJ;3;3301;330101;-3;-3;5104.9533;192065;;1096;0.333941606;1669.708029;5126;64-Vendaval;(867.0, 894.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
78;51;28;64;26/08/2021 00:00;26/08/2023 00:00;26/08/2021 00:00;26/08/2023 00:00;49048;430;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;902;;0.2425;SE;2;2802;280201;1020.09;0.2236;3431.0561;14574;;730;0.119178082;595.890411;5128;64-Vendaval;(894.0, 915.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
84;51;30;64;27/08/2021 00:00;27/08/2024 00:00;27/08/2021 00:00;27/08/2024 00:00;11740;0;1;APOLICE NOVA;-1;2;VERANEIO;1;CASAS DE ALVENARIA;2;2000;910;;0.0602;SP;3;3507;350701;-3;0.0602;158.9839;2163;;1096;0.333941606;667.8832117;5130;64-Vendaval;(894.0, 915.0];4.257353446;-2.787369393;0.297264283;0;0;1.041108264;0;0;0;0;0;0;0;0;0;0;0;0;0;16.5826439;4.145660974
