id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
1;51;1;2;59;64;58;71;8460;520;1;0;-1;1;0;1.0;1;2;5000.0;749;;0.175;9;3;3810;381007;364.27;0.2825;7782.7236;565893;;1096;0.333941606;1669.708029;511;0;3;6.8481;-3.675124402;0.0;0.0;1.0144;0.0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;30.43297302;0
4;81;1;2;19;19;20;20;4356;100;2;2;-1;1;0;1.0;1;2;10000.0;967;;0.0609;9;3;3810;381007;1966.57;0.2825;7782.7236;565893;;366;0.857923497;8579.234973;811;0;9;6.8481;-2.985128602;-0.2372;0.0;1.0144;0.0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;47.86202817;0
7;81;2;2;16;16;17;17;12460;0;2;2;-1;2;1;1.0;1;1;10000.0;894;;0.0425;9;3;3815;381502;-3.0;0.0425;174.1592;2268;;366;0.855191257;8551.912568;812;0;5;6.8481;-2.985128602;-0.2372;-0.4103;1.0144;0.5512;0;0;0;0;0;0.0;0;-0.001302739;0;0;0;0;0;119.0767995;0
11;51;3;2;4;4;4;5;2205;10;1;0;-1;1;0;1.0;1;1;5000.0;916;;0.0916;9;3;3810;381007;1254.85;0.2825;7782.7236;565893;;730;0.087671233;438.3561644;513;0;7;6.8481;-3.675124402;0.0;0.0;1.0144;0.0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;30.43297302;0
16;81;4;2;34;36;34;40;3424;40;2;2;-1;1;0;2.0;0;-3;15000.0;740;;0.4134;9;3;3810;381007;2022.24;0.2825;7782.7236;565893;;1096;0.333941606;5009.124088;814;0;3;6.8481;-2.64323434;-0.2372;0.0;0.0;0.0;0;0;0;0;0;-0.7106;0;-0.325048939;0;0;0;0;0;18.765437;0
20;51;5;2;12;12;13;14;29163;172;1;0;-1;1;0;2.0;0;-3;5000.0;474;;-3.0;2;3;3201;320104;719.82;0.1013;862.0011;10588;;1096;0.333941606;1669.708029;515;0;1;6.8481;-3.675124402;0.0;0.0;0.0;0.0;0;0;0;0;0;-0.2698;0;-0.006081747;0;0;0;0;0;18.12140527;0
26;51;6;2;13;13;14;9;14400;100;1;0;-1;1;0;1.0;1;2;30000.0;909;;0.2185;9;3;3813;381303;1237.85;0.0659;557.4072;16209;;1096;0.333941606;10018.24818;516;0;6;6.8481;-2.146973427;0.0;0.0;1.0144;0.8598;0;0;0;0;0;-0.2698;0;-0.00931045;0;0;0;0;0;542.5152107;0
32;81;7;2;16;16;17;17;3616;100;2;2;-1;1;0;1.0;1;2;7843.0;791;;0.045;9;3;3810;381007;752.31;0.2825;7782.7236;565893;;366;0.855191257;6707.265027;817;0;3;6.8481;-3.210837904;-0.2372;0.0;1.0144;0.0;0;0;0;0;0;-0.4468;0;-0.325048939;0;0;0;0;0;38.19150684;0
37;51;8;2;39;43;39;47;9720;440;5;3;197;1;0;2.0;0;-3;8000.0;956;;0.6696;9;3;3810;381007;1481.75;0.2394;1993.3407;27397;;730;0.108219178;865.7534247;518;0;9;6.8481;-3.191802787;-0.2372;0.0;0.0;0.0;0;0;0;0;0;-0.6866;0;-0.015736837;0;0;0;0;0;15.13122329;0
40;81;8;2;9;9;8;11;6422;100;2;2;-1;1;0;2.0;0;-3;3000.0;825;;0.0;9;3;3810;381005;623.66;0.1105;4036.6252;13986;;366;0.846994536;2540.983607;818;0;4;6.8481;-4.28377517;-0.2372;0.0;0.0;0.0;0;0;0;0;0;-0.6866;0;-0.008033558;0;0;0;0;0;5.116605706;0
43;81;9;2;22;22;23;25;11441;290;2;2;-1;2;1;2.0;0;-3;10000.0;943;;0.3333;9;3;3810;381006;1363.7;0.1089;2160.7622;7009;;366;0.860655738;8606.557377;819;0;8;6.8481;-2.985128602;-0.2372;-0.4103;0.0;0.0;0;0;0;0;0;-0.6866;0;-0.00402597;0;0;0;0;0;12.48896467;0
48;81;11;2;57;62;56;51;49050;70;2;2;-1;1;0;1.0;1;2;5000.0;716;;-3.0;8;2;2802;280201;832.62;0.2236;3431.0561;14574;;366;0.827868852;4139.344262;8111;0;3;6.8481;-3.675124402;-0.2372;0.0;1.0144;0.0;0;0;0;0;0;-0.4468;0;-0.008371306;0;0;0;0;0;32.9504294;0
52;81;13;2;3;3;3;4;2435;0;2;2;-1;1;0;2.0;0;-3;2000.0;894;;0.3248;9;3;3810;381007;2223.03;0.2825;7782.7236;565893;;366;0.841530055;1683.060109;8113;0;5;6.8481;-4.837868361;-0.2372;0.0;0.0;0.0;0;0;0;0;0;-0.7106;0;-0.325048939;0;0;0;0;0;2.090456995;0
55;51;18;2;47;51;48;26;21540;70;1;0;-1;1;0;2.0;0;-3;5000.0;752;;0.1553;5;3;3301;330101;851.25;0.3762;5104.9533;192065;;730;0.116438356;582.1917808;5118;0;3;6.8481;-3.675124402;0.0;0.0;0.0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;5.086314302;0
59;50;19;2;58;63;57;70;22421;0;5;3;177;1;0;2.0;0;-3;30000.0;684;;0.9575;5;3;3301;330101;5923.22;0.3762;5104.9533;192065;;730;0.039726027;1191.780822;5019;0;2;6.8481;-2.146973427;-0.2372;0.0;0.0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;18.49507419;0
64;51;20;2;47;51;48;57;87050;730;1;0;-1;1;0;2.0;0;-3;5000.0;853;;0.251;4;4;4102;410207;871.16;0.195;797.9181;24276;;730;0.116438356;582.1917808;5120;0;4;6.8481;-3.675124402;0.0;0.0;0.0;0.5512;0;0;0;0;0;-0.2698;0;-0.013944134;0;0;0;0;0;31.20041712;0
66;51;23;2;48;52;9;58;7791;60;1;0;-1;1;0;2.0;0;2;5000.0;-1;;-3.0;9;3;3810;381005;-3.0;0.1017;549.4172;2152;;730;0.117808219;589.0410959;5123;0;0;6.8481;-3.675124402;0.0;0.0;0.0;0.0;0;0;0;0;0;-0.2698;0;-0.001236109;0;0;0;0;0;18.20942814;0
71;51;26;2;51;56;51;49;21051;901;1;0;-1;1;0;2.0;0;-3;5000.0;887;;-3.0;5;3;3301;330101;-3.0;-3.0;5104.9533;192065;;1096;0.333941606;1669.708029;5126;0;5;6.8481;-3.675124402;0.0;0.0;0.0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;5.086314302;0
