id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
9;81;2;64;12;12;14;11;12460;0;2;2;-1;2;1;1.0;1;1;10000.0;894;;0.0425;9;3;3815;381502;-3.0;0.0425;174.1592;2268;;366;0.855191257;8551.912568;812;0;5;4.257353446;-1.246549488;0.0;0;0.0;0.0;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;25.57581657;6.393954142
22;51;5;64;8;8;10;9;29163;172;1;0;-1;1;0;2.0;0;-3;5000.0;474;;-3.0;2;3;3201;320104;719.82;0.1013;862.0011;10588;;1096;0.333941606;1669.708029;515;0;1;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
29;51;6;64;9;9;11;6;14400;100;1;0;-1;1;0;1.0;1;2;10000.0;909;;0.2185;9;3;3813;381303;1237.85;0.0659;557.4072;16209;;1096;0.333941606;3339.416058;516;0;6;4.257353446;-1.246549488;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;27.33227506;6.833068766
35;81;7;64;12;12;14;11;3616;100;2;2;-1;1;0;1.0;1;2;8000.0;791;;0.045;9;3;3810;381007;752.31;0.2825;7782.7236;565893;;366;0.855191257;6841.530055;817;0;3;4.257353446;-1.393684696;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;17.52570656;4.381426641
45;81;9;64;17;17;18;17;11441;290;2;2;-1;2;1;2.0;0;-3;10000.0;943;;0.3333;9;3;3810;381006;1363.7;0.1089;2160.7622;7009;;366;0.860655738;8606.557377;819;0;8;4.257353446;-1.246549488;0.0;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;5.413660021;1.353415005
61;50;19;64;52;61;53;66;22421;0;5;3;177;1;0;2.0;0;-3;30000.0;684;;0.9575;6;3;3301;330101;5923.22;0.3762;5104.9533;192065;;730;0.039726027;1191.780822;5019;0;2;4.257353446;-0.719695682;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;5.385085839;1.34627146
68;51;23;64;44;50;7;52;7791;60;1;0;-1;1;0;2.0;0;2;5000.0;-1;;-3.0;9;3;3810;381005;-3.0;0.1017;549.4172;2152;;730;0.117808219;589.0410959;5123;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
73;51;26;64;46;53;47;40;21051;901;1;0;-1;1;0;2.0;0;-3;5000.0;887;;-3.0;6;3;3301;330101;-3.0;-3.0;5104.9533;192065;;1096;0.333941606;1669.708029;5126;0;5;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
78;51;28;64;46;52;47;55;49048;430;1;0;-1;1;0;2.0;0;-3;5000.0;902;;0.2425;8;2;2802;280201;1020.09;0.2236;3431.0561;14574;;730;0.119178082;595.890411;5128;0;6;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
84;51;30;64;48;56;49;59;11740;0;1;0;-1;2;1;1.0;1;2;2000.0;910;;0.0602;9;3;3507;350701;-3.0;0.0602;158.9839;2163;;1096;0.333941606;667.8832117;5130;0;6;4.257353446;-2.787369393;0.297264283;0;0.0;1.041108264;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;16.5826439;4.145660974
89;51;32;64;50;58;51;62;24754;240;1;0;-1;1;0;1.0;1;2;6000.0;-1;;0.0;6;3;3301;330101;1956.71;0.0793;4106.2595;12080;;730;0.121917808;731.5068493;5132;0;0;4.257353446;-1.609288469;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;19.01692286;4.754230715
95;51;34;64;55;66;57;14;71675;80;1;0;-1;1;0;1.0;1;2;25000.0;913;;0.0;1;5;5301;530101;5848.69;0.2565;489.9215;92951;;1096;0.333941606;8348.540146;5134;0;6;4.257353446;-0.78838712;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;43.2168562;10.80421405
104;51;36;64;55;65;54;70;36025;260;1;0;-1;1;0;2.0;0;-3;5000.0;31;;0.6936;3;3;3112;311201;1577.95;0.2937;381.6689;20235;;730;0.124657534;623.2876712;5136;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;1.366286988;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;17.04980829;4.262452072
109;51;38;64;55;66;57;71;9230;120;1;0;-1;1;0;2.0;0;-3;3000.0;912;;0.0252;9;3;3810;381007;1012.39;0.1776;4038.887;25376;;1096;0.333941606;1001.824818;5138;0;6;4.257353446;-2.275877579;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;2.603512735;0.650878184
117;51;41;64;57;68;59;73;18103;50;1;0;-1;1;0;2.0;0;-3;5000.0;833;;0.0783;9;3;3808;380804;859.54;0.0937;1415.3421;25320;;730;0.126027397;630.1369863;5141;0;4;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.756138901;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;9.262656367;2.315664092
122;51;45;64;2;2;3;2;5435;0;1;0;-1;1;0;2.0;0;-3;5000.0;899;;0.4873;9;3;3810;381007;2486.66;0.2825;7782.7236;565893;;730;0.128767123;643.8356164;5145;0;6;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
127;51;49;64;3;3;17;3;7240;10;1;0;-1;1;0;1.0;1;2;6000.0;208;;0.0088;9;3;3810;381002;621.0;0.1184;4127.7037;30902;;1096;0.333941606;2003.649635;5149;0;0;4.257353446;-1.609288469;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;19.01692286;4.754230715
132;51;61;64;16;16;17;16;4363;1;1;0;-1;1;0;2.0;0;-3;5000.0;326;;0.8999;9;3;3810;381007;3882.6;0.2825;7782.7236;565893;;730;0.138356164;691.7808219;5161;0;1;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
137;50;62;64;42;47;44;49;18120;0;1;0;-1;2;1;1.0;1;1;6000.0;889;;0.0204;9;3;3808;380804;-3.0;0.0204;217.55;1087;;730;0.24109589;1446.575342;5062;0;5;4.257353446;-1.609288469;0.297264283;0;0.0;0.756138901;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;51.0247823;12.75619557
146;51;66;64;20;20;9;20;87505;143;1;0;-1;1;0;1.0;1;2;6000.0;476;;-3.0;5;4;4103;410303;1025.2;0.1026;87.0742;4850;;1096;0.333941606;2003.649635;5166;0;1;4.257353446;-1.609288469;0.297264283;0;0.0;0.898257109;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;46.6926315;11.67315788
152;51;67;64;23;23;23;23;3273;105;1;0;-1;1;0;1.0;1;2;10000.0;958;;-3.0;9;3;3810;381007;1218.25;0.2825;7782.7236;565893;;730;0.142465753;1424.657534;5167;0;9;4.257353446;-1.246549488;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;27.33227506;6.833068766
171;99;72;64;5;5;5;5;11444;670;2;2;-1;2;1;1.0;1;2;50000.0;913;;0.0106;9;3;3810;381006;342.12;0.1089;2160.7622;7009;;730;0.005479452;273.9726027;9972;0;6;4.257353446;-0.557473879;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;40.44243348;10.11060837
181;51;77;64;27;30;27;30;89235;430;1;0;-1;1;0;1.0;1;2;6000.0;858;;0.0099;7;4;4202;420203;728.86;0.1576;512.7124;21383;;1096;0.333941606;2003.649635;5177;0;4;4.257353446;-1.609288469;0.297264283;0;0.0;1.524868712;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;87.3740189;21.84350473
186;51;80;64;27;29;27;29;7022;0;1;0;-1;1;0;2.0;0;-3;5000.0;626;;0.3367;9;3;3810;381002;1170.17;0.1184;4127.7037;30902;;730;0.146575342;732.8767123;5180;0;2;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
191;51;82;64;27;29;27;29;4125;20;1;0;-1;1;0;1.0;1;1;3000.0;869;;0.6324;9;3;3810;381007;4245.54;0.2825;7782.7236;565893;;730;0.146575342;439.7260274;5182;0;5;4.257353446;-2.275877579;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;12.29980529;3.074951321
196;50;83;64;1;1;2;1;1526;0;1;0;-1;1;0;2.0;0;-3;50000.0;837;;0.8656;9;3;3810;381007;2368.02;0.2825;7782.7236;565893;;1096;0.333941606;16697.08029;5083;0;4;4.257353446;-0.557473879;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;6.333512977;1.583378244
201;51;87;64;30;34;30;34;4737;0;1;0;-1;1;0;2.0;0;-3;5000.0;820;;0.2231;9;3;3810;381007;4188.71;0.2825;7782.7236;565893;;1096;0.333941606;1669.708029;5187;0;3;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
